R,vim-tiny,editors,small editor for everyday work,
R,ctags,sysutils,tag generator,
R,sterm,terminal,my preferred terminal,
R,pfetch,sysutils,shows system information,
O,rxvt-unicode,terminal,,
O,alacritty,terminal,,
O,xterm,terminal,,
R,sudo,sec,,
R,git-tiny,dev,,
U,git,dev,,
R,netcat,net,swiss army knife for network things,
R,curl,net,work with things on the net,
R,bc,math,small calculator,
R,nmap,sec,probe open ports,
R,tcpdump,net,,
R,rsync,net,,
R,wget,ftp,,
R,tmux,sysutils,multiple panes in the terminal,
R,lsof,sysutils,,
R,tree,sysutils,,
R,htop,sysutils,,
R,gnupg,sec,,
R,w3m,www,terminal-based web browser,
R,ca_root_nss,sec,,
R,the_silver_searcher,textproc,,
R,chez-scheme,dev,a scheme implementation,
U,openjdk8,dev,,
U,clojure,dev,,
R,zsh,shells,superior shell,
R,bash,shells,,
o,emacs-nox,editor,,
U,exfat-utils,sysutils,work with ExFAT filesystems,
o,minidlna,sysutils,Media server,
U,unrar,sysutils,,
U,abook,mail,,
U,neomutt,mail,,
U,isync,mail,to get mbsync,
U,msmtp,mail,,
X,surf-browser,www,,
O,iridium,www,,
O,midori,www,,
X,mpv,multimedia,video player,
X,sxiv,graphics,image viewer,
U,urlview,textproc,,
O,urlscan,textproc,,
U,mediainfo,multimedia,show info for media,
U,ffmpeg,multimedia,,
U,ImageMagick7-nox11,graphics,,
O,GraphicsMagick,graphics,,
U,vifm,filemanager,,
o,nnn,filemanager,,
R,mc,filemanager,,
R,lf,filemanager,,
R,sc-im,office,ncurses spreadsheet,
X,sent,office,presentations,
o,hs-pandoc-2.11.4,textproc,markdown to pdfs,
X,libqrencode,graphics,QR code creator,
X,maim,graphics,screenshot utility,
U,calcurse,office,calendar and scheduling,
U,R,math,statistical analysis,
U,gnuchess,games,,
o,sdcv,edu,dictionary client for stardict,
U,ledger,office,,
U,irssi,net,IM chat,
U,telegram,net,,
U,youtube_dl,www,,
U,fzf,textproc,fuzzy search,
X,tabbed,utils,,
U,newsboat,news,,
o,unison-nox11,net,,
R,xmlstarlet,textproc,tool for working with xml,
R,jq,textproc,tool for working with json,
U,figlet,games,,
U,fortune,games,,
U,fortune-mod-bofh,games,,
U,fortune-mod-futurama,games,,
R,cowsay,games,,
o,musicpd,audio,,
U,musicpc,audio,,
U,ncmpcpp,audio,,
X,gmpc,audio,,
X,xorg-minimal,x11,,
X,xrandr,x11,,
O,arandr,x11,,
X,xrdb,x11,,
X,xprop,x11,,
X,setxkbmap,x11,,
X,xev,x11,,
X,xdotool,x11,,
O,slock,x11,,
X,xorg-fonts-truetype,fonts,,
X,proggy_fonts-ttf,fonts,,
X,sourcecodepro-ttf,fonts,,
X,dina,fonts,,
X,font-awesome,fonts,,
X,firacode,fonts,,
X,xbacklight,x11,,
X,xfontsel,x11,,
O,fluxbox,wm,,
X,bspwm,wm,,
X,xclip,x11,,
O,drm-kmod,x11,for enhanced graphics for intel/amd GPU processors,
O,picom,x11,"window composition manager for transparency, blur, etc",
O,i3,x11,,
O,i3-gaps,x11,,
O,i3blocks,x11,,
O,i3status,x11,,
O,i3lock,x11,,
X,dmenu,x11,,
O,rofi,x11,dmenu replacement,
X,feh,graphics,,
X,dunst,sysutils,notification daemon,
X,zathura,graphics,,
X,zahura-pdf-poppler,graphics,,
O,mupdf,graphics,,
O,wifimgr,net,wifi gtk2,
X,xmodmap,x11,,
X,nvim,editors,,
X,compton,x11,window composition: transparency,
O,xfd,x11,font display,
O,linuxlibertine,fonts,,
X,inconsolata-ttf,fonts,good for emojis,
D,slim,x11,,
D,pcmanfm,x11,,
o,postgresql96-server,db,,
U,postgresql96-client,db,,
o,node,dev,,
o,npm,dev,,
X,conky,sysutils,,
O,idesk,x11,,
D,cinnamon,wm,,
D,mate,wm,,
o,tomcat60,www,,
